Audiences,Date
23583,20040917
51374,20040918
47007,20040919
15793,20040920
17394,20040921
18622,20040922
14788,20040923
22443,20040924
45596,20040925
44521,20040926
42739,20040927
45068,20040928
53915,20040929
22768,20040930
17155,20041001
30943,20041002
29782,20041003
8729,20041004
8492,20041005
8629,20041006
8258,20041007
3845,20041008
8516,20041009
8160,20041010
2528,20041011
2701,20041012
3350,20041013
1743,20041014
374,20041015
1112,20041016
1095,20041017
301,20041018
345,20041019
298,20041020
265,20041021
9,20041022
129,20041023
42,20041024
16,20041025
6,20041026
8,20041027
25,20041028
25,20041029
41,20041030
59,20041031
4,20041101
3,20041102
3,20041103
5,20041104
24,20041105
26,20041106
57,20041107
2,20041108
1,20041109
11,20041110
8,20041111
0,20041112
0,20041113
0,20041114
0,20041115
0,20041116
0,20041117
0,20041118
0,20041119
0,20041120
0,20041121
0,20041122
0,20041123
0,20041124
0,20041125
0,20041126
0,20041127
0,20041128
0,20041129
0,20041130
0,20041201
0,20041202
0,20041203
0,20041204
0,20041205
0,20041206
0,20041207
0,20041208
0,20041209
0,20041210
0,20041211
0,20041212
0,20041213
0,20041214
0,20041215
0,20041216
0,20041217
0,20041218
0,20041219
0,20041220
0,20041221
0,20041222
0,20041223
0,20041224
0,20041225
0,20041226
0,20041227
0,20041228
0,20041229
0,20041230
0,20041231
0,20050101
0,20050102
0,20050103
0,20050104
0,20050105
0,20050106
0,20050107
0,20050108
0,20050109
0,20050110
0,20050111
0,20050112
0,20050113
0,20050114
0,20050115
0,20050116
0,20050117
0,20050118
0,20050119
0,20050120
0,20050121
0,20050122
0,20050123
0,20050124
0,20050125
0,20050126
0,20050127
0,20050128
0,20050129
0,20050130
0,20050131
0,20050201
0,20050202
0,20050203
0,20050204
0,20050205
0,20050206
0,20050207
0,20050208
0,20050209
0,20050210
0,20050211
0,20050212
0,20050213
0,20050214
0,20050215
0,20050216
0,20050217
0,20050218
0,20050219
0,20050220
0,20050221
0,20050222
0,20050223
0,20050224
0,20050225
0,20050226
0,20050227
0,20050228
0,20050301
0,20050302
0,20050303
0,20050304
0,20050305
0,20050306
0,20050307
0,20050308
0,20050309
0,20050310
0,20050311
0,20050312
0,20050313
0,20050314
0,20050315
0,20050316
0,20050317
0,20050318
0,20050319
0,20050320
0,20050321
0,20050322
0,20050323
0,20050324
0,20050325
0,20050326
0,20050327
0,20050328
0,20050329
0,20050330
0,20050331
0,20050401
0,20050402
0,20050403
0,20050404
0,20050405
0,20050406
0,20050407
0,20050408
0,20050409
0,20050410
0,20050411
0,20050412
0,20050413
0,20050414
0,20050415
0,20050416
0,20050417
0,20050418
0,20050419
0,20050420
0,20050421
0,20050422
0,20050423
0,20050424
0,20050425
0,20050426
0,20050427
0,20050428
0,20050429
0,20050430
0,20050501
0,20050502
0,20050503
0,20050504
0,20050505
0,20050506
0,20050507
0,20050508
0,20050509
0,20050510
0,20050511
0,20050512
0,20050513
0,20050514
0,20050515
0,20050516
0,20050517
0,20050518
0,20050519
0,20050520
0,20050521
0,20050522
0,20050523
0,20050524
0,20050525
0,20050526
0,20050527
0,20050528
0,20050529
0,20050530
0,20050531
0,20050601
0,20050602
0,20050603
0,20050604
0,20050605
0,20050606
0,20050607
0,20050608
0,20050609
0,20050610
0,20050611
0,20050612
0,20050613
0,20050614
0,20050615
