Audiences,Date
82387,20040910
154223,20040911
135107,20040912
43442,20040913
39182,20040914
39121,20040915
29296,20040916
32055,20040917
68190,20040918
56923,20040919
18455,20040920
18115,20040921
16784,20040922
11559,20040923
14322,20040924
28723,20040925
28378,20040926
26249,20040927
29490,20040928
32647,20040929
13471,20040930
8284,20041001
14265,20041002
11510,20041003
4013,20041004
3867,20041005
3929,20041006
3418,20041007
206,20041008
294,20041009
272,20041010
114,20041011
84,20041012
71,20041013
87,20041014
33,20041015
67,20041016
52,20041017
27,20041018
30,20041019
28,20041020
20,20041021
0,20041022
0,20041023
0,20041024
0,20041025
0,20041026
0,20041027
0,20041028
0,20041029
0,20041030
0,20041031
0,20041101
0,20041102
0,20041103
0,20041104
0,20041105
0,20041106
0,20041107
0,20041108
0,20041109
0,20041110
0,20041111
0,20041112
0,20041113
0,20041114
0,20041115
0,20041116
0,20041117
0,20041118
0,20041119
0,20041120
0,20041121
0,20041122
0,20041123
0,20041124
0,20041125
0,20041126
0,20041127
0,20041128
0,20041129
0,20041130
0,20041201
0,20041202
0,20041203
0,20041204
0,20041205
0,20041206
0,20041207
0,20041208
0,20041209
0,20041210
0,20041211
0,20041212
0,20041213
0,20041214
0,20041215
0,20041216
0,20041217
0,20041218
0,20041219
0,20041220
0,20041221
0,20041222
0,20041223
0,20041224
0,20041225
0,20041226
0,20041227
0,20041228
0,20041229
0,20041230
0,20041231
0,20050101
0,20050102
0,20050103
0,20050104
0,20050105
0,20050106
0,20050107
0,20050108
0,20050109
0,20050110
0,20050111
0,20050112
0,20050113
0,20050114
0,20050115
0,20050116
0,20050117
0,20050118
0,20050119
0,20050120
0,20050121
0,20050122
0,20050123
0,20050124
0,20050125
0,20050126
0,20050127
0,20050128
0,20050129
0,20050130
0,20050131
0,20050201
0,20050202
0,20050203
0,20050204
0,20050205
0,20050206
0,20050207
0,20050208
0,20050209
0,20050210
0,20050211
0,20050212
0,20050213
0,20050214
0,20050215
0,20050216
0,20050217
0,20050218
0,20050219
0,20050220
0,20050221
0,20050222
0,20050223
0,20050224
0,20050225
0,20050226
0,20050227
0,20050228
0,20050301
0,20050302
0,20050303
0,20050304
0,20050305
0,20050306
0,20050307
0,20050308
0,20050309
0,20050310
0,20050311
0,20050312
0,20050313
0,20050314
0,20050315
0,20050316
0,20050317
0,20050318
0,20050319
0,20050320
0,20050321
0,20050322
0,20050323
0,20050324
0,20050325
0,20050326
0,20050327
0,20050328
0,20050329
0,20050330
0,20050331
0,20050401
0,20050402
0,20050403
0,20050404
0,20050405
0,20050406
0,20050407
0,20050408
0,20050409
0,20050410
0,20050411
0,20050412
0,20050413
0,20050414
0,20050415
0,20050416
0,20050417
0,20050418
0,20050419
0,20050420
0,20050421
0,20050422
0,20050423
0,20050424
0,20050425
0,20050426
0,20050427
0,20050428
0,20050429
0,20050430
0,20050501
0,20050502
0,20050503
0,20050504
0,20050505
0,20050506
0,20050507
0,20050508
0,20050509
0,20050510
0,20050511
0,20050512
0,20050513
0,20050514
0,20050515
0,20050516
