Audiences,Date
39120,20050527
107902,20050528
87053,20050529
26635,20050530
26041,20050531
27906,20050601
23153,20050602
26962,20050603
78098,20050604
93830,20050605
106392,20050606
18461,20050607
16107,20050608
10850,20050609
11801,20050610
49178,20050611
41451,20050612
7001,20050613
7083,20050614
8392,20050615
4449,20050616
5862,20050617
17892,20050618
19139,20050619
4243,20050620
4732,20050621
5507,20050622
1430,20050623
2005,20050624
8567,20050625
5749,20050626
1060,20050627
1003,20050628
1271,20050629
267,20050630
157,20050701
392,20050702
479,20050703
73,20050704
134,20050705
82,20050706
156,20050707
4,20050708
2,20050709
89,20050710
5,20050711
3,20050712
8,20050713
0,20050714
0,20050715
0,20050716
0,20050717
0,20050718
0,20050719
0,20050720
0,20050721
0,20050722
0,20050723
0,20050724
0,20050725
0,20050726
0,20050727
0,20050728
0,20050729
0,20050730
0,20050731
0,20050801
0,20050802
0,20050803
0,20050804
0,20050805
0,20050806
0,20050807
0,20050808
0,20050809
0,20050810
0,20050811
0,20050812
0,20050813
0,20050814
0,20050815
0,20050816
0,20050817
0,20050818
0,20050819
0,20050820
0,20050821
0,20050822
0,20050823
0,20050824
0,20050825
0,20050826
0,20050827
0,20050828
0,20050829
0,20050830
0,20050831
0,20050901
0,20050902
0,20050903
0,20050904
0,20050905
0,20050906
0,20050907
0,20050908
0,20050909
0,20050910
0,20050911
0,20050912
0,20050913
0,20050914
0,20050915
0,20050916
0,20050917
0,20050918
0,20050919
0,20050920
0,20050921
0,20050922
0,20050923
0,20050924
0,20050925
0,20050926
0,20050927
0,20050928
0,20050929
0,20050930
0,20051001
0,20051002
0,20051003
0,20051004
0,20051005
0,20051006
0,20051007
0,20051008
0,20051009
0,20051010
0,20051011
0,20051012
0,20051013
0,20051014
0,20051015
0,20051016
0,20051017
0,20051018
0,20051019
0,20051020
0,20051021
0,20051022
0,20051023
0,20051024
0,20051025
0,20051026
0,20051027
0,20051028
0,20051029
0,20051030
0,20051031
0,20051101
0,20051102
0,20051103
0,20051104
0,20051105
0,20051106
0,20051107
0,20051108
0,20051109
0,20051110
0,20051111
0,20051112
0,20051113
0,20051114
0,20051115
0,20051116
0,20051117
0,20051118
0,20051119
0,20051120
0,20051121
0,20051122
0,20051123
0,20051124
0,20051125
0,20051126
0,20051127
0,20051128
0,20051129
0,20051130
0,20051201
0,20051202
0,20051203
0,20051204
0,20051205
0,20051206
0,20051207
0,20051208
0,20051209
0,20051210
0,20051211
0,20051212
0,20051213
0,20051214
0,20051215
0,20051216
0,20051217
0,20051218
0,20051219
0,20051220
0,20051221
0,20051222
0,20051223
0,20051224
0,20051225
0,20051226
0,20051227
0,20051228
0,20051229
0,20051230
0,20051231
0,20060101
0,20060102
0,20060103
0,20060104
0,20060105
0,20060106
0,20060107
0,20060108
0,20060109
0,20060110
0,20060111
0,20060112
0,20060113
0,20060114
0,20060115
0,20060116
0,20060117
0,20060118
0,20060119
0,20060120
0,20060121
0,20060122
0,20060123
0,20060124
0,20060125
0,20060126
0,20060127
0,20060128
0,20060129
0,20060130
0,20060131
0,20060201
0,20060202
0,20060203
0,20060204
0,20060205
0,20060206
0,20060207
0,20060208
0,20060209
0,20060210
0,20060211
0,20060212
0,20060213
0,20060214
0,20060215
0,20060216
0,20060217
0,20060218
0,20060219
0,20060220
0,20060221
0,20060222
0,20060223
0,20060224
0,20060225
0,20060226
0,20060227
0,20060228
0,20060301
0,20060302
0,20060303
0,20060304
0,20060305
0,20060306
0,20060307
0,20060308
0,20060309
0,20060310
0,20060311
0,20060312
0,20060313
0,20060314
